transaction_id,actual_fraud,predicted_fraud,fraud_probability,status,correct_prediction,amount,receiver_type,txn_count_1h,txn_count_24h,avg_amount_7d,high_amount_flag,night_txn_flag,collect_request_flag,unique_receivers
T10442,0,0,0.0065199384,True Negative,1,312.26,1,1,1,20357.235714285714,0,0,0,7
T10344,0,0,0.00057714037,True Negative,1,189.17,1,1,2,0.0,0,0,0,5
T10316,0,1,0.99977666,False Positive,0,38246.21,1,1,1,0.0,0,0,0,4
T10456,0,0,0.0012624153,True Negative,1,197.05,1,1,1,935.1314285714286,0,0,0,7
T10252,0,0,0.08760116,True Negative,1,7869.2,1,1,1,3758.5085714285715,0,0,0,10
T10227,0,0,0.0013541005,True Negative,1,408.04,1,1,1,3747.5728571428567,0,0,0,10
T10308,0,0,0.00020533652,True Negative,1,61.41,1,1,1,0.0,0,0,0,3
T10261,0,0,0.00014701216,True Negative,1,149.94,1,1,1,0.0,0,0,0,2
T10010,0,0,0.0008784901,True Negative,1,200.52,1,1,1,0.0,0,0,0,4
T10327,0,0,0.00013064242,True Negative,1,2243.62,1,1,1,0.0,0,1,0,4
T10071,0,0,9.417849e-05,True Negative,1,227.45,0,1,1,0.0,0,1,0,4
T10405,1,0,0.2962407,False Negative,0,121.18,1,1,1,733.5571428571429,0,0,1,7
T10431,0,0,0.14024208,True Negative,1,6027.9,1,1,1,2706.354285714286,0,0,0,7
T10078,0,0,0.00017108455,True Negative,1,302.89,1,1,1,0.0,0,0,0,3
T10457,0,0,0.002373735,True Negative,1,146608.77,0,1,2,0.0,1,0,0,5
T10068,0,0,0.038548186,True Negative,1,9502.81,1,1,1,0.0,0,0,0,5
T10402,0,0,0.00020533652,True Negative,1,56.91,1,1,1,0.0,0,0,0,3
T10238,0,0,0.0017725476,True Negative,1,6147.95,1,1,1,0.0,0,0,0,4
T10472,0,0,0.0024627459,True Negative,1,293.53,0,1,1,0.0,0,0,0,5
T10051,0,0,0.005199313,True Negative,1,3336.94,1,1,1,25006.122857142855,0,0,0,8
T10262,1,1,0.8461524,True Positive,1,304.97,1,1,1,6240.668571428571,0,0,1,8
T10002,0,0,0.00011251936,True Negative,1,486.29,1,1,1,0.0,0,1,0,4
T10267,0,0,0.00026020902,True Negative,1,191.41,1,1,1,558.3114285714286,0,1,0,7
T10201,0,0,0.0039292085,True Negative,1,3100.7,0,1,1,49009.72714285715,0,1,0,9
T10464,0,0,0.0001514196,True Negative,1,50.81,1,1,1,0.0,0,1,0,5
T10223,0,0,8.6598186e-05,True Negative,1,382.15,0,1,2,0.0,0,1,0,4
T10085,0,0,0.0007498936,True Negative,1,364.04,1,1,1,253.7671428571429,0,0,0,8
T10446,0,0,0.002624868,True Negative,1,5286.36,0,1,1,0.0,0,0,0,5
T10217,0,0,0.00057714037,True Negative,1,96.21,1,1,3,0.0,0,0,0,5
T10298,1,1,0.9981844,True Positive,1,8464.21,0,1,1,11576.162857142857,0,0,1,11
T10413,0,0,0.0016037883,True Negative,1,4350.79,1,1,2,6815.155714285715,0,0,0,9
T10112,0,0,0.0007320323,True Negative,1,415.18,1,1,1,0.0,0,0,0,4
T10462,0,0,0.00011545459,True Negative,1,419.03,0,1,1,0.0,0,0,0,3
T10123,0,0,0.00077805936,True Negative,1,220.42,1,1,1,2378.245714285714,0,0,0,11
T10259,1,0,0.37413803,False Negative,0,96.2,1,1,1,31123.518571428573,0,0,1,8
T10453,0,0,0.005199313,True Negative,1,2842.41,1,1,1,12458.874285714284,0,0,0,8
T10272,0,0,0.04598226,True Negative,1,5677.83,1,1,1,0.0,0,0,0,6
T10209,0,0,0.000256055,True Negative,1,495.8,0,1,2,0.0,0,0,0,4
T10364,0,0,0.0014098395,True Negative,1,5242.72,1,1,1,0.0,0,0,0,5
T10423,0,0,0.4098073,True Negative,1,7440.85,1,1,1,4865.4400000000005,0,0,0,7
T10173,0,0,0.00020533652,True Negative,1,73.97,1,1,1,0.0,0,0,0,3
T10352,0,0,0.043081637,True Negative,1,6868.59,0,1,1,0.0,0,0,0,6
T10246,0,0,0.00020986507,True Negative,1,221.8,1,1,3,0.0,0,1,0,5
T10064,0,0,0.0026002144,True Negative,1,7649.03,0,1,1,0.0,0,1,0,5
T10401,0,0,0.052194484,True Negative,1,6057.8,1,1,1,8933.172857142858,0,1,0,11
T10300,1,1,0.99995387,True Positive,1,127245.27,1,1,1,41082.33571428571,1,1,0,7
T10480,0,0,0.00011545459,True Negative,1,495.96,0,1,1,0.0,0,0,0,3
T10186,0,0,0.021224726,True Negative,1,8646.29,1,1,1,3288.6428571428573,0,0,0,10
T10144,0,0,0.0007320323,True Negative,1,376.89,1,1,1,0.0,0,0,0,4
T10004,0,0,0.002373735,True Negative,1,129700.56,0,1,2,0.0,1,0,0,6
T10244,0,1,0.7563076,False Positive,0,66283.83,0,1,1,12056.735714285713,1,0,0,10
T10435,0,0,0.00019966136,True Negative,1,342.74,0,1,2,0.0,0,0,0,4
T10180,0,0,0.0009472783,True Negative,1,376.36,0,1,2,0.0,0,0,0,6
T10381,0,0,0.024938961,True Negative,1,195.9,0,1,1,3900.5628571428574,0,0,0,9
T10492,1,1,0.7563076,True Positive,1,75930.54,0,1,1,12966.092857142856,1,0,1,12
T10093,0,0,0.066689424,True Negative,1,109085.57,0,1,1,0.0,1,0,0,3
T10436,0,0,0.34910446,True Negative,1,126552.45,1,1,1,19601.87714285714,1,0,0,9
T10263,0,0,0.001614219,True Negative,1,427.93,0,1,1,0.0,0,0,0,6
T10251,0,0,0.00013004472,True Negative,1,8214.02,0,1,1,0.0,0,0,0,3
T10187,0,0,0.012625401,True Negative,1,417.71,0,1,2,13015.657142857144,0,0,0,13
T10145,0,0,0.0042150314,True Negative,1,272.31,1,1,1,5659.614285714286,0,0,0,7
T10321,0,0,0.0005654104,True Negative,1,326.14,1,1,1,48986.049999999996,0,1,0,10
T10017,0,0,0.0010520071,True Negative,1,196.2,1,1,1,22860.312857142857,0,1,0,7
T10128,0,0,0.34910446,True Negative,1,147713.57,1,1,1,25113.230000000003,1,0,0,8
T10338,0,1,0.6461141,False Positive,0,71295.74,1,1,1,32128.960000000003,1,0,0,9
T10136,0,0,0.00077805936,True Negative,1,360.84,1,1,1,2177.8857142857146,0,0,0,11
T10020,0,0,0.19520523,True Negative,1,3237.19,0,1,1,23017.695714285714,0,0,0,7
T10360,0,0,0.0013247145,True Negative,1,352.94,1,1,1,2541.532857142857,0,0,0,7
T10131,0,0,0.0023500503,True Negative,1,384.56,1,1,1,0.0,0,0,0,6
T10497,0,0,0.043014333,True Negative,1,9101.57,0,1,1,0.0,0,0,0,5
T10146,0,0,0.0024627459,True Negative,1,348.59,0,1,1,0.0,0,0,0,5
