u,merchant_vpa,merchant_name,category,risk_level,kyc_status
M1131,betmasterco1@easebuzz,BetMaster Co,betting,HIGH,pending
M1132,winnersbetpvt@upi,WinnersBet Pvt,betting,HIGH,verified
M1133,shadowmartco@easebuzz,ShadowMart Co,grocery,LOW,pending
M1134,winnersbetco@easebuzz,WinnersBet Co,betting,HIGH,pending
M1135,freshvegstore@paytm,FreshVeg Store,grocery,LOW,verified
M1136,fastcash99store@upi,FastCash99 Store,betting,HIGH,verified
M1137,petrolpointstore@easebuzz,PetrolPoint Store,fuel,LOW,verified
M1138,betkingstore1@upi,BetKing Store,betting,HIGH,rejected
M1139,levelupindia1@upi,LevelUp India,gaming,MEDIUM,verified
M1140,betmasterstore@razorpay,BetMaster Store,betting,HIGH,verified
M1141,winnersbetonline@razorpay,WinnersBet Online,betting,HIGH,verified
M1142,tripeasy@easebuzz,TripEasy,travel,LOW,verified
M1143,levelupco@razorpay,LevelUp Co,gaming,MEDIUM,verified
M1144,xtremegamingstore@upi,XtremeGaming Store,gaming,MEDIUM,verified
M1145,tripeasy@razorpay,TripEasy,travel,LOW,verified
M1146,offshorevaulthub@upi,OffshoreVault Hub,crypto,HIGH,verified
M1147,bookmyflighthub1@easebuzz,BookMyFlight Hub,travel,LOW,verified
M1148,quickbuckshub@razorpay,QuickBucks Hub,betting,HIGH,rejected
M1149,levelup33@razorpay,LevelUp 33,gaming,MEDIUM,verified
M1150,tripeasyindia@easebuzz,TripEasy India,travel,LOW,pending
M1151,speedfuelco@easebuzz,SpeedFuel Co,fuel,LOW,pending
M1152,rapidbethub@paytm,RapidBet Hub,betting,HIGH,rejected
M1153,cryptonowstore@paytm,CryptoNow Store,crypto,HIGH,pending
M1154,speedfuelstore1@easebuzz,SpeedFuel Store,fuel,LOW,verified
M1155,freshvegindia@upi,FreshVeg India,grocery,LOW,verified
M1156,rapidbethub@upi,RapidBet Hub,betting,HIGH,pending
M1157,quickbucks82@razorpay,QuickBucks 82,betting,HIGH,pending
M1158,shadowmartpvt@paytm,ShadowMart Pvt,grocery,LOW,pending
M1159,rapidbet39@paytm,RapidBet 39,betting,HIGH,verified
M1160,betkingpvt@easebuzz,BetKing Pvt,betting,HIGH,pending
M1161,techworldonline@upi,TechWorld Online,electronics,MEDIUM,pending
M1162,digitalmartindia@easebuzz,DigitalMart India,electronics,MEDIUM,verified
M1163,levelup@razorpay,LevelUp,gaming,MEDIUM,verified
M1164,levelupco1@razorpay,LevelUp Co,gaming,MEDIUM,verified
M1165,winnersbethub1@razorpay,WinnersBet Hub,betting,HIGH,verified
M1166,freshvegco@paytm,FreshVeg Co,grocery,LOW,pending
M1167,cryptonowindia1@upi,CryptoNow India,crypto,HIGH,pending
M1168,freshveg@paytm,FreshVeg,grocery,LOW,verified
M1169,jetsetgopvt@upi,JetSetGo Pvt,travel,LOW,verified
M1170,betmasterco@upi,BetMaster Co,betting,HIGH,rejected
M1171,shopmarthub@upi,ShopMart Hub,grocery,LOW,verified
M1172,playzone@razorpay,PlayZone,gaming,MEDIUM,pending
M1173,leveluppvt@razorpay,LevelUp Pvt,gaming,MEDIUM,pending
M1174,shopmart@upi,ShopMart,grocery,LOW,verified
M1175,playzonehub@paytm,PlayZone Hub,gaming,MEDIUM,verified
M1176,shadowmartpvt@easebuzz,ShadowMart Pvt,grocery,LOW,verified
M1177,coindealindia@easebuzz,CoinDeal India,crypto,HIGH,pending
M1178,coindealindia1@easebuzz,CoinDeal India,crypto,HIGH,pending
M1179,rapidbet@razorpay,RapidBet,betting,HIGH,pending
M1180,offshorevault@easebuzz,OffshoreVault,crypto,HIGH,rejected
M1181,shopmartindia@easebuzz,ShopMart India,grocery,LOW,verified
M1182,techworldindia@paytm,TechWorld India,electronics,MEDIUM,verified
M1183,speedfuelindia@upi,SpeedFuel India,fuel,LOW,verified
M1184,bitswaphub@easebuzz,BitSwap Hub,crypto,HIGH,rejected
M1185,anonpaystore@easebuzz,AnonPay Store,crypto,HIGH,pending
M1186,quickbazaarindia1@paytm,QuickBazaar India,grocery,LOW,verified
M1187,jetsetgoco@easebuzz,JetSetGo Co,travel,LOW,verified
M1188,cricketbetsonline@razorpay,CricketBets Online,betting,HIGH,rejected
M1189,tripeasyonline@paytm,TripEasy Online,travel,LOW,verified
M1190,digitalmartstore@razorpay,DigitalMart Store,electronics,MEDIUM,rejected
M1191,fastcash9988@paytm,FastCash99 88,betting,HIGH,verified
M1192,offshorevaultindia@easebuzz,OffshoreVault India,crypto,HIGH,verified
M1193,playzonehub@upi,PlayZone Hub,gaming,MEDIUM,verified
M1194,playzonehub1@paytm,PlayZone Hub,gaming,MEDIUM,verified
M1195,shadowmartonline@paytm,ShadowMart Online,grocery,LOW,pending
M1196,shadowmartstore@razorpay,ShadowMart Store,grocery,LOW,verified
M1197,bitswapco@upi,BitSwap Co,crypto,HIGH,rejected
M1198,cricketbetsindia@razorpay,CricketBets India,betting,HIGH,rejected
M1199,quickbucksindia@razorpay,QuickBucks India,betting,HIGH,pending
M1200,betmaster@razorpay,BetMaster,betting,HIGH,verified
M1201,digitalmartstore1@razorpay,DigitalMart Store,electronics,MEDIUM,verified
M1202,leveluppvt@easebuzz,LevelUp Pvt,gaming,MEDIUM,verified
M1203,shadowmart@paytm,ShadowMart,grocery,LOW,verified
M1204,bookmyflightonline@easebuzz,BookMyFlight Online,travel,LOW,verified
M1205,winnersbethub2@razorpay,WinnersBet Hub,betting,HIGH,rejected
M1206,petrolpointindia@paytm,PetrolPoint India,fuel,LOW,verified
M1207,gadgetzone1@paytm,GadgetZone,electronics,MEDIUM,verified
M1208,cryptoedgeonline@easebuzz,CryptoEdge Online,crypto,HIGH,pending
M1209,jetsetgostore@upi,JetSetGo Store,travel,LOW,verified
M1210,cricketbetshub1@easebuzz,CricketBets Hub,betting,HIGH,verified
M1211,betmaster87@razorpay,BetMaster 87,betting,HIGH,verified
M1212,cryptonow1@paytm,CryptoNow,crypto,HIGH,verified
M1213,cryptoedgepvt@razorpay,CryptoEdge Pvt,crypto,HIGH,verified
M1214,digitalmart@easebuzz,DigitalMart,electronics,MEDIUM,verified
M1215,jetsetgopvt@easebuzz,JetSetGo Pvt,travel,LOW,verified
M1216,playzonehub2@paytm,PlayZone Hub,gaming,MEDIUM,verified
M1217,shadowmart@easebuzz,ShadowMart,grocery,LOW,verified
M1218,digitalmarthub1@easebuzz,DigitalMart Hub,electronics,MEDIUM,verified
M1219,xtremegamingonline@razorpay,XtremeGaming Online,gaming,MEDIUM,verified
M1220,coindealhub@upi,CoinDeal Hub,crypto,HIGH,rejected
M1221,bookmyflight80@razorpay,BookMyFlight 80,travel,LOW,verified
M1222,gamershubco@easebuzz,GamersHub Co,gaming,MEDIUM,verified
M1223,gadgetzoneindia@easebuzz,GadgetZone India,electronics,MEDIUM,pending
M1224,betkinghub@upi,BetKing Hub,betting,HIGH,pending
M1225,quickbucksindia@paytm,QuickBucks India,betting,HIGH,pending
M1226,xtremegaminghub@razorpay,XtremeGaming Hub,gaming,MEDIUM,verified
M1227,rapidbetpvt1@upi,RapidBet Pvt,betting,HIGH,verified
M1228,speedfuelco@upi,SpeedFuel Co,fuel,LOW,verified
M1229,jetsetgoindia@upi,JetSetGo India,travel,LOW,pending
M1230,gadgetzone81@easebuzz,GadgetZone 81,electronics,MEDIUM,pending
M1231,cryptoedge98@razorpay,CryptoEdge 98,crypto,HIGH,rejected
M1232,fastcash99hub@upi,FastCash99 Hub,betting,HIGH,pending
M1233,xtremegaming61@razorpay,XtremeGaming 61,gaming,MEDIUM,pending
M1234,cryptoedge@razorpay,CryptoEdge,crypto,HIGH,pending
M1235,quickbucks40@easebuzz,QuickBucks 40,betting,HIGH,verified
M1236,bookmyflightstore@paytm,BookMyFlight Store,travel,LOW,verified
M1237,tripeasyonline@easebuzz,TripEasy Online,travel,LOW,verified
M1238,betking@easebuzz,BetKing,betting,HIGH,rejected
M1239,playzoneco@razorpay,PlayZone Co,gaming,MEDIUM,verified
M1240,cryptoedgepvt1@paytm,CryptoEdge Pvt,crypto,HIGH,pending
M1241,playzoneindia@upi,PlayZone India,gaming,MEDIUM,verified
M1242,gamershub91@easebuzz,GamersHub 91,gaming,MEDIUM,verified
M1243,gamershubpvt@razorpay,GamersHub Pvt,gaming,MEDIUM,verified
M1244,anonpayonline@easebuzz,AnonPay Online,crypto,HIGH,rejected
M1245,cricketbets@razorpay,CricketBets,betting,HIGH,verified
M1246,quickbazaaronline@razorpay,QuickBazaar Online,grocery,LOW,verified
M1247,betkingpvt@razorpay,BetKing Pvt,betting,HIGH,verified
M1248,offshorevaultpvt@razorpay,OffshoreVault Pvt,crypto,HIGH,pending
M1249,fastcash99online1@upi,FastCash99 Online,betting,HIGH,pending
M1250,cryptonowstore2@easebuzz,CryptoNow Store,crypto,HIGH,pending
M1251,shopmartpvt@paytm,ShopMart Pvt,grocery,LOW,verified
M1252,gadgetzonehub@paytm,GadgetZone Hub,electronics,MEDIUM,verified
M1253,cryptonowco@razorpay,CryptoNow Co,crypto,HIGH,rejected
M1254,rapidbetco@upi,RapidBet Co,betting,HIGH,rejected
M1255,betmasterindia@razorpay,BetMaster India,betting,HIGH,rejected
M1256,gadgetzone@razorpay,GadgetZone,electronics,MEDIUM,pending
M1257,cryptoedgepvt@easebuzz,CryptoEdge Pvt,crypto,HIGH,verified
M1258,bookmyflightpvt@easebuzz,BookMyFlight Pvt,travel,LOW,verified
M1259,playzoneco@easebuzz,PlayZone Co,gaming,MEDIUM,verified
M1260,digitalmart97@upi,DigitalMart 97,electronics,MEDIUM,verified
M1261,xtremegaming40@upi,XtremeGaming 40,gaming,MEDIUM,verified
M1262,rapidbet74@easebuzz,RapidBet 74,betting,HIGH,rejected
M1263,fastcash99online2@upi,FastCash99 Online,betting,HIGH,rejected
M1264,petrolpointpvt@razorpay,PetrolPoint Pvt,fuel,LOW,verified
M1265,betkinghub@paytm,BetKing Hub,betting,HIGH,rejected
M1266,anonpayindia@razorpay,AnonPay India,crypto,HIGH,verified
M1267,tripeasystore@easebuzz,TripEasy Store,travel,LOW,pending
M1268,speedfuelonline@paytm,SpeedFuel Online,fuel,LOW,pending
M1269,petrolpoint29@razorpay,PetrolPoint 29,fuel,LOW,pending
M1270,gadgetzone@easebuzz,GadgetZone,electronics,MEDIUM,verified
M1271,shadowmartonline1@paytm,ShadowMart Online,grocery,LOW,verified
M1272,gadgetzonehub1@paytm,GadgetZone Hub,electronics,MEDIUM,pending
M1273,xtremegaminghub@upi,XtremeGaming Hub,gaming,MEDIUM,verified
M1274,quickbazaar37@upi,QuickBazaar 37,grocery,LOW,verified
M1275,bookmyflight61@paytm,BookMyFlight 61,travel,LOW,pending
M1276,coindealstore@upi,CoinDeal Store,crypto,HIGH,rejected
M1277,anonpayonline@paytm,AnonPay Online,crypto,HIGH,rejected
M1278,shopmartstore1@paytm,ShopMart Store,grocery,LOW,verified
M1279,anonpay54@paytm,AnonPay 54,crypto,HIGH,verified
M1280,cryptonow@upi,CryptoNow,crypto,HIGH,rejected
M1281,freshvegonline@paytm,FreshVeg Online,grocery,LOW,verified
M1282,rapidbetonline@upi,RapidBet Online,betting,HIGH,rejected
M1283,jetsetgohub@paytm,JetSetGo Hub,travel,LOW,pending
M1284,gadgetzone1@easebuzz,GadgetZone,electronics,MEDIUM,pending
M1285,cryptoedgeonline@razorpay,CryptoEdge Online,crypto,HIGH,verified
M1286,jetsetgohub1@paytm,JetSetGo Hub,travel,LOW,verified
M1287,speedfuelindia@razorpay,SpeedFuel India,fuel,LOW,verified
M1288,freshveghub@upi,FreshVeg Hub,grocery,LOW,verified
M1289,gadgetzone88@easebuzz,GadgetZone 88,electronics,MEDIUM,verified
M1290,quickbucksindia@easebuzz,QuickBucks India,betting,HIGH,verified
M1291,tripeasy@upi,TripEasy,travel,LOW,verified
M1292,quickbazaarstore@easebuzz,QuickBazaar Store,grocery,LOW,rejected
M1293,tripeasy70@razorpay,TripEasy 70,travel,LOW,verified
M1294,quickbazaarco@razorpay,QuickBazaar Co,grocery,LOW,verified
M1295,fastcash99hub@razorpay,FastCash99 Hub,betting,HIGH,verified
M1296,freshvegonline1@easebuzz,FreshVeg Online,grocery,LOW,verified
M1297,tripeasyhub@upi,TripEasy Hub,travel,LOW,verified
M1298,techworldhub@razorpay,TechWorld Hub,electronics,MEDIUM,pending
M1299,speedfuelonline1@paytm,SpeedFuel Online,fuel,LOW,verified
M1300,tripeasystore@razorpay,TripEasy Store,travel,LOW,verified
M1301,tripeasystore1@razorpay,TripEasy Store,travel,LOW,verified
M1302,oilstoponline@upi,OilStop Online,fuel,LOW,verified
M1303,petrolpoint45@paytm,PetrolPoint 45,fuel,LOW,verified
M1304,cryptonowonline@razorpay,CryptoNow Online,crypto,HIGH,pending
M1305,digitalmartindia1@easebuzz,DigitalMart India,electronics,MEDIUM,verified
M1306,coindealpvt@paytm,CoinDeal Pvt,crypto,HIGH,verified
M1307,jetsetgo78@paytm,JetSetGo 78,travel,LOW,verified
M1308,quickbazaarhub@razorpay,QuickBazaar Hub,grocery,LOW,verified
M1309,winnersbet@upi,WinnersBet,betting,HIGH,rejected
M1310,fastcash99hub@easebuzz,FastCash99 Hub,betting,HIGH,rejected
M1311,cryptoedgepvt1@razorpay,CryptoEdge Pvt,crypto,HIGH,pending
M1312,shadowmartstore@upi,ShadowMart Store,grocery,LOW,pending
M1313,offshorevaultpvt@easebuzz,OffshoreVault Pvt,crypto,HIGH,pending
M1314,quickbazaarindia@razorpay,QuickBazaar India,grocery,LOW,verified
M1315,offshorevault91@upi,OffshoreVault 91,crypto,HIGH,rejected
M1316,anonpay37@upi,AnonPay 37,crypto,HIGH,verified
M1317,coindeal10@upi,CoinDeal 10,crypto,HIGH,rejected
M1318,fastcash99india@razorpay,FastCash99 India,betting,HIGH,rejected
M1319,coindealindia@razorpay,CoinDeal India,crypto,HIGH,rejected
M1320,petrolpointpvt1@razorpay,PetrolPoint Pvt,fuel,LOW,verified
M1321,cryptonowco@upi,CryptoNow Co,crypto,HIGH,verified
M1322,offshorevault@razorpay,OffshoreVault,crypto,HIGH,pending
M1323,freshveg48@upi,FreshVeg 48,grocery,LOW,verified
M1324,shopmartindia@razorpay,ShopMart India,grocery,LOW,verified
M1325,winnersbet92@easebuzz,WinnersBet 92,betting,HIGH,rejected
M1326,fastcash99india@upi,FastCash99 India,betting,HIGH,rejected
M1327,shadowmartindia@easebuzz,ShadowMart India,grocery,LOW,verified
M1328,anonpayhub@upi,AnonPay Hub,crypto,HIGH,rejected
M1329,rapidbetpvt2@upi,RapidBet Pvt,betting,HIGH,pending
M1330,petrolpointindia@upi,PetrolPoint India,fuel,LOW,verified
M1331,oilstophub@upi,OilStop Hub,fuel,LOW,verified
M1332,speedfuelstore@paytm,SpeedFuel Store,fuel,LOW,verified
M1333,freshvegstore@upi,FreshVeg Store,grocery,LOW,verified
M1334,quickbazaarindia1@upi,QuickBazaar India,grocery,LOW,verified
M1335,digitalmartpvt@upi,DigitalMart Pvt,electronics,MEDIUM,verified
M1336,bitswaphub@paytm,BitSwap Hub,crypto,HIGH,rejected
M1337,shadowmartindia@paytm,ShadowMart India,grocery,LOW,pending
M1338,oilstopstore@upi,OilStop Store,fuel,LOW,verified
M1339,petrolpoint@easebuzz,PetrolPoint,fuel,LOW,verified
M1340,betmasterstore1@razorpay,BetMaster Store,betting,HIGH,pending
M1341,freshvegonline@razorpay,FreshVeg Online,grocery,LOW,verified
M1342,gadgetzone@upi,GadgetZone,electronics,MEDIUM,verified
M1343,bitswap62@upi,BitSwap 62,crypto,HIGH,pending
M1344,cricketbetshub@razorpay,CricketBets Hub,betting,HIGH,rejected
M1345,betkingonline@upi,BetKing Online,betting,HIGH,rejected
M1346,xtremegamingindia@razorpay,XtremeGaming India,gaming,MEDIUM,verified
M1347,gamershubstore@easebuzz,GamersHub Store,gaming,MEDIUM,verified
M1348,techworld@razorpay,TechWorld,electronics,MEDIUM,rejected
M1349,shopmartonline@upi,ShopMart Online,grocery,LOW,pending
M1350,quickbazaarhub1@razorpay,QuickBazaar Hub,grocery,LOW,verified
M1351,techworld21@easebuzz,TechWorld 21,electronics,MEDIUM,verified
M1352,quickbucks40@paytm,QuickBucks 40,betting,HIGH,verified
M1353,cricketbets51@upi,CricketBets 51,betting,HIGH,verified
M1354,speedfuel@paytm,SpeedFuel,fuel,LOW,verified
M1355,cricketbets77@razorpay,CricketBets 77,betting,HIGH,pending
M1356,speedfuelonline@upi,SpeedFuel Online,fuel,LOW,verified
M1357,freshveghub@easebuzz,FreshVeg Hub,grocery,LOW,verified
M1358,anonpay@upi,AnonPay,crypto,HIGH,pending
M1359,freshvegindia@easebuzz,FreshVeg India,grocery,LOW,verified
M1360,bookmyflightstore1@paytm,BookMyFlight Store,travel,LOW,verified
M1361,anonpayonline@razorpay,AnonPay Online,crypto,HIGH,rejected
M1362,tripeasyhub1@upi,TripEasy Hub,travel,LOW,verified
M1363,quickbazaaronline@paytm,QuickBazaar Online,grocery,LOW,verified
M1364,playzonehub@easebuzz,PlayZone Hub,gaming,MEDIUM,verified
M1365,tripeasypvt@razorpay,TripEasy Pvt,travel,LOW,pending
M1366,quickbazaarpvt@easebuzz,QuickBazaar Pvt,grocery,LOW,rejected
M1367,jetsetgostore@razorpay,JetSetGo Store,travel,LOW,verified
M1368,bookmyflight66@razorpay,BookMyFlight 66,travel,LOW,verified
M1369,cryptonowhub@razorpay,CryptoNow Hub,crypto,HIGH,rejected
M1370,cricketbetsstore@paytm,CricketBets Store,betting,HIGH,pending
M1371,rapidbetco@paytm,RapidBet Co,betting,HIGH,pending
M1372,anonpayonline@upi,AnonPay Online,crypto,HIGH,rejected
M1373,cryptoedge@paytm,CryptoEdge,crypto,HIGH,verified
M1374,winnersbethub@easebuzz,WinnersBet Hub,betting,HIGH,verified
M1375,levelupco@easebuzz,LevelUp Co,gaming,MEDIUM,verified
M1376,gadgetzone79@paytm,GadgetZone 79,electronics,MEDIUM,verified
M1377,cryptoedgeco@razorpay,CryptoEdge Co,crypto,HIGH,rejected
