transaction_id,sender_customer_id,sender_account_id,sender_vpa,receiver_vpa,receiver_customer_id,receiver_type,amount,currency,transaction_type,timestamp,status,channel,device_id,location_id,upi_app,is_fraud
T10403,C1050,A2050,sunita964@okicici,neha182@paytm,C1024,customer,1788.72,INR,P2P,27-03-2026 18:34,success,mobile_app,D4428,L8882,PhonePe,0
T10442,C1071,A2071,meena866@apl,speedfuelco@upi,,merchant,2130.14,INR,P2M,28-03-2026 12:19,success,mobile_app,D7116,L9854,PhonePe,0
T10190,C1045,A2045,deepa765@okhdfcbank,rahul352@oksbi,C1056,customer,3256.27,INR,P2P,11-04-2026 10:16,success,mobile_app,D4057,L9906,Paytm,0
T10242,C1060,A2060,deepa415@okicici,cryptonowco@upi,,merchant,6810.87,INR,P2M,03-04-2026 21:42,success,QR,D7782,L1917,Paytm,0
T10362,C1034,A2034,deepa675@okicici,betkingpvt@paytm,,merchant,84580.71,INR,P2M,21-03-2026 13:02,failed,intent,D4287,L6968,BHIM,0
T10498,C1076,A2076,meena145@paytm,bitswap80@easebuzz,,merchant,397.58,INR,P2M,28-03-2026 08:16,failed,mobile_app,D1262,L7908,GPay,0
T10424,C1007,A2007,sunita92@upi,techworldstore@razorpay,,merchant,3337.81,INR,P2M,24-03-2026 16:37,success,QR,D5881,L1085,BHIM,0
T10472,C1019,A2019,sanjay139@ybl,bookmyflightpvt1@easebuzz,,merchant,73.97,INR,P2M,15-04-2026 23:46,success,QR,D4428,L2333,BHIM,0
T10082,C1062,A2062,ankit756@okhdfcbank,sunita92@upi,C1007,customer,493.99,INR,P2P,26-03-2026 19:42,success,intent,D3595,L9021,GPay,0
T10038,C1047,A2047,kiran603@okicici,deepa120@okicici,C1075,customer,9438.17,INR,P2P,19-03-2026 16:40,success,mobile_app,D4239,L8265,PhonePe,0
T10292,C1005,A2005,sunita90@okicici,ritika508@okhdfcbank,C1018,customer,200.98,INR,P2P,05-04-2026 14:16,success,intent,D3703,L8187,PhonePe,0
T10321,C1014,A2014,suresh150@oksbi,divya602@oksbi,C1070,customer,9101.57,INR,P2P,17-04-2026 14:44,success,mobile_app,D8306,L6855,GPay,0
T10499,C1001,A2001,suresh390@okicici,petrolpointpvt@paytm,,merchant,136.47,INR,collect_request,26-03-2026 18:52,success,intent,D3736,L1721,BHIM,0
T10263,C1017,A2017,meena967@okhdfcbank,cricketbetspvt@easebuzz,,merchant,223.07,INR,P2M,24-03-2026 17:33,success,mobile_app,D1190,L2175,GPay,0
T10244,C1043,A2043,kiran989@paytm,quickbazaarstore@easebuzz,,merchant,97711.52,INR,P2M,24-03-2026 07:24,success,QR,D6152,L1518,Paytm,0
T10044,C1068,A2068,sunita687@apl,meena955@okhdfcbank,C1028,customer,9255.34,INR,P2P,06-04-2026 11:49,pending,QR,D3846,L3885,PhonePe,0
T10296,C1024,A2024,neha182@paytm,sanjay401@apl,C1046,customer,288.59,INR,P2P,12-04-2026 06:36,pending,mobile_app,D8605,L4409,Paytm,0
T10384,C1064,A2064,rahul220@okhdfcbank,kiran603@okicici,C1047,customer,3722.57,INR,P2P,20-03-2026 15:11,failed,intent,D3938,L5264,PhonePe,0
T10337,C1009,A2009,sachin13@ybl,arun753@apl,C1025,customer,267.91,INR,P2P,12-04-2026 13:31,success,intent,D1971,L8685,GPay,0
T10419,C1043,A2043,kiran989@paytm,sunita92@upi,C1007,customer,491.88,INR,P2P,25-03-2026 23:08,success,intent,D1947,L9516,Paytm,0
T10056,C1042,A2042,manoj694@paytm,cryptonowhub@razorpay,,merchant,135.49,INR,collect_request,01-04-2026 07:16,success,QR,D4891,L2571,GPay,0
T10493,C1009,A2009,sachin13@ybl,jetsetgostore@upi,,merchant,5539.55,INR,P2M,12-04-2026 04:53,success,mobile_app,D8572,L1437,GPay,0
T10005,C1025,A2025,arun753@apl,mule734@okaxis,,customer,4592.33,INR,P2P,02-04-2026 06:58,success,mobile_app,D1207,L3248,GPay,1
T10107,C1049,A2049,kavita943@oksbi,meena100@apl,C1053,customer,6455.45,INR,collect_request,30-03-2026 16:29,failed,QR,D7518,L6617,Paytm,0
T10135,C1064,A2064,rahul220@okhdfcbank,quickbazaarindia@razorpay,,merchant,157.5,INR,P2M,25-03-2026 10:49,success,QR,D3608,L3935,PhonePe,0
T10359,C1038,A2038,swati810@upi,ritika573@okhdfcbank,C1011,customer,66283.83,INR,P2P,16-04-2026 08:50,success,QR,D5478,L2102,BHIM,0
T10451,C1035,A2035,nikhil809@paytm,shadowmartindia@paytm,,merchant,272.31,INR,P2M,16-04-2026 21:47,success,intent,D3875,L2070,PhonePe,0
T10260,C1078,A2078,pooja499@okicici,digitalmartindia@easebuzz,,merchant,138.05,INR,P2M,02-04-2026 10:06,success,QR,D6640,L2462,GPay,0
T10452,C1008,A2008,swati612@upi,petrolpointonline@easebuzz,,merchant,470.1,INR,P2M,27-03-2026 22:47,success,intent,D1378,L9731,Paytm,0
T10231,C1042,A2042,manoj694@paytm,ritika508@okhdfcbank,C1018,customer,346.79,INR,P2P,08-04-2026 00:07,success,QR,D6071,L8311,Paytm,0
T10402,C1013,A2013,anjali276@ybl,suresh390@okicici,C1001,customer,58.06,INR,P2P,07-04-2026 07:14,success,intent,D8974,L5961,Paytm,0
T10282,C1013,A2013,anjali276@ybl,rahul352@oksbi,C1056,customer,395.92,INR,P2P,22-03-2026 04:14,success,mobile_app,D5105,L8305,GPay,0
T10057,C1050,A2050,sunita964@okicici,sanjay401@apl,C1046,customer,427.93,INR,P2P,16-04-2026 18:34,success,QR,D4271,L2589,GPay,0
T10413,C1079,A2079,swati502@ybl,shopmart@upi,,merchant,302.89,INR,P2M,14-04-2026 16:15,success,QR,D3476,L9444,GPay,0
T10144,C1043,A2043,kiran989@paytm,meena495@oksbi,C1048,customer,93514.67,INR,P2P,28-03-2026 11:01,success,intent,D9263,L7877,PhonePe,0
T10349,C1038,A2038,swati810@upi,manoj819@okicici,C1066,customer,1867,INR,P2P,28-03-2026 10:32,success,QR,D9157,L9032,Paytm,0
T10067,C1029,A2029,manoj185@okaxis,anjali628@okaxis,C1041,customer,488.4,INR,P2P,22-03-2026 23:18,success,mobile_app,D8237,L4463,BHIM,0
T10176,C1070,A2070,divya602@oksbi,gamershubonline1@razorpay,,merchant,486.29,INR,P2M,15-04-2026 00:21,success,QR,D9576,L9745,Paytm,0
T10470,C1030,A2030,ritika966@okhdfcbank,meena202@apl,C1067,customer,217.56,INR,collect_request,08-04-2026 16:35,pending,intent,D2071,L2941,PhonePe,0
T10224,C1078,A2078,pooja499@okicici,playzone98@paytm,,merchant,196.2,INR,P2M,17-04-2026 03:33,success,intent,D7232,L6126,BHIM,0
T10179,C1070,A2070,divya602@oksbi,leveluppvt@easebuzz,,merchant,235.28,INR,P2M,06-04-2026 13:20,success,QR,D4614,L5308,GPay,0
T10245,C1052,A2052,mohan534@apl,swati810@upi,C1038,customer,444.67,INR,P2P,24-03-2026 02:02,success,QR,D1612,L4311,GPay,0
T10439,C1019,A2019,sanjay139@ybl,pooja499@okicici,C1078,customer,233.27,INR,collect_request,21-03-2026 11:26,success,QR,D7388,L2617,Paytm,0
T10297,C1006,A2006,pooja571@paytm,quickbucksco@paytm,,merchant,408.48,INR,P2M,26-03-2026 09:24,success,intent,D1706,L1885,Paytm,0
T10058,C1026,A2026,manoj249@upi,suresh150@oksbi,C1014,customer,181.32,INR,P2P,11-04-2026 09:06,success,intent,D5341,L2493,BHIM,0
T10181,C1024,A2024,neha182@paytm,rakesh566@okicici,C1058,customer,2641.66,INR,P2P,11-04-2026 12:29,success,mobile_app,D6253,L1317,PhonePe,0
T10372,C1050,A2050,sunita964@okicici,ritika966@okhdfcbank,C1030,customer,138509.74,INR,P2P,26-03-2026 09:57,success,QR,D6196,L7656,GPay,0
T10149,C1033,A2033,simran143@ybl,nikhil809@paytm,C1035,customer,4812.05,INR,collect_request,28-03-2026 12:35,success,QR,D8904,L3928,Paytm,0
T10333,C1018,A2018,ritika508@okhdfcbank,ankit756@okhdfcbank,C1062,customer,283.18,INR,P2P,26-03-2026 13:13,failed,mobile_app,D4569,L3532,PhonePe,0
T10140,C1023,A2023,kavita618@okhdfcbank,oilstopstore@upi,,merchant,320.91,INR,P2M,24-03-2026 03:19,success,QR,D8844,L8848,PhonePe,0
T10185,C1056,A2056,rahul352@oksbi,manoj174@paytm,C1012,customer,497.54,INR,P2P,10-04-2026 14:09,pending,QR,D6113,L6293,PhonePe,0
T10450,C1029,A2029,manoj185@okaxis,sanjay440@paytm,C1063,customer,145421.51,INR,P2P,28-03-2026 18:52,success,mobile_app,D4212,L7489,GPay,0
T10269,C1045,A2045,deepa765@okhdfcbank,sanjay780@ybl,C1004,customer,121751.25,INR,P2P,02-04-2026 09:32,success,intent,D5267,L2006,BHIM,0
T10313,C1050,A2050,sunita964@okicici,freshveghub@razorpay,,merchant,3595.35,INR,P2M,25-03-2026 19:39,success,QR,D3465,L4346,GPay,0
T10346,C1025,A2025,arun753@apl,ritika464@upi,C1054,customer,495.8,INR,P2P,15-04-2026 21:15,success,intent,D5472,L7557,Paytm,0
T10398,C1059,A2059,arun437@apl,digitalmartonline@upi,,merchant,458.24,INR,collect_request,02-04-2026 05:16,success,mobile_app,D9570,L8007,Paytm,0
T10152,C1018,A2018,ritika508@okhdfcbank,simran143@ybl,C1033,customer,320.11,INR,P2P,20-03-2026 11:15,success,intent,D7296,L7564,Paytm,0
T10400,C1074,A2074,simran321@oksbi,arun437@apl,C1059,customer,276.55,INR,P2P,06-04-2026 17:06,success,mobile_app,D2364,L7819,Paytm,0
T10114,C1028,A2028,meena955@okhdfcbank,gamershubpvt1@razorpay,,merchant,7341.66,INR,P2M,28-03-2026 04:10,success,intent,D4170,L5819,BHIM,0
T10141,C1075,A2075,deepa120@okicici,sunita90@okicici,C1005,customer,425.01,INR,P2P,25-03-2026 04:14,success,intent,D9399,L1642,PhonePe,0
T10406,C1006,A2006,pooja571@paytm,bookmyflight80@razorpay,,merchant,96.2,INR,collect_request,15-04-2026 17:27,success,intent,D5764,L1606,BHIM,0
T10386,C1016,A2016,kavita802@oksbi,sanjay401@apl,C1046,customer,488.02,INR,P2P,31-03-2026 09:56,success,intent,D5321,L9470,Paytm,0
T10129,C1008,A2008,swati612@upi,petrolpointco@upi,,merchant,138.84,INR,P2M,30-03-2026 00:31,success,mobile_app,D5671,L2143,PhonePe,0
T10126,C1068,A2068,sunita687@apl,rapidbet@paytm,,merchant,386.04,INR,P2M,25-03-2026 15:08,pending,QR,D7113,L1182,PhonePe,0
T10425,C1043,A2043,kiran989@paytm,gadgetzone88@easebuzz,,merchant,122754.26,INR,P2M,13-04-2026 12:36,failed,intent,D4831,L6739,Paytm,0
T10432,C1027,A2027,ankit837@paytm,divya602@oksbi,C1070,customer,382.85,INR,P2P,07-04-2026 21:47,success,QR,D6074,L8411,Paytm,0
T10463,C1039,A2039,nikhil832@oksbi,deepa415@okicici,C1060,customer,293.51,INR,P2P,05-04-2026 12:59,success,mobile_app,D9481,L3369,GPay,0
T10309,C1007,A2007,sunita92@upi,pooja571@paytm,C1006,customer,459.5,INR,P2P,20-03-2026 14:53,success,QR,D7003,L3871,GPay,0
T10411,C1061,A2061,anjali674@paytm,gamershubstore@razorpay,,merchant,139.77,INR,P2M,11-04-2026 14:30,failed,QR,D4845,L4431,GPay,0
T10233,C1030,A2030,ritika966@okhdfcbank,xtremegaminghub@razorpay,,merchant,346.76,INR,P2M,30-03-2026 12:23,success,intent,D5556,L4401,GPay,0
T10273,C1049,A2049,kavita943@oksbi,cryptoedgeonline@paytm,,merchant,248.08,INR,P2M,21-03-2026 06:34,success,intent,D5331,L2900,GPay,0
T10123,C1042,A2042,manoj694@paytm,lata815@paytm,C1032,customer,82.96,INR,P2P,29-03-2026 16:30,success,QR,D7678,L7357,BHIM,0
T10301,C1018,A2018,ritika508@okhdfcbank,kiran603@okicici,C1047,customer,324.25,INR,P2P,05-04-2026 01:03,success,QR,D4313,L6503,PhonePe,0
T10206,C1055,A2055,amit46@oksbi,pooja798@oksbi,C1010,customer,227.45,INR,P2P,14-04-2026 05:55,success,QR,D5301,L2393,BHIM,0
T10160,C1043,A2043,kiran989@paytm,shopmartindia@easebuzz,,merchant,469.13,INR,P2M,27-03-2026 12:14,success,intent,D4115,L9175,PhonePe,0
T10213,C1008,A2008,swati612@upi,shadowmartindia@paytm,,merchant,172.09,INR,P2M,01-04-2026 20:03,success,intent,D7332,L4787,BHIM,0
T10464,C1030,A2030,ritika966@okhdfcbank,playzonehub2@paytm,,merchant,425.83,INR,P2M,28-03-2026 09:45,pending,mobile_app,D6595,L4102,BHIM,0
T10326,C1067,A2067,meena202@apl,levelupindia@razorpay,,merchant,19256.21,INR,P2M,31-03-2026 21:43,success,QR,D3865,L8571,PhonePe,0
T10305,C1005,A2005,sunita90@okicici,shadowmart@easebuzz,,merchant,112686.68,INR,P2M,23-03-2026 09:27,success,QR,D9114,L4940,GPay,0
T10316,C1058,A2058,rakesh566@okicici,digitalmartstore2@easebuzz,,merchant,109.38,INR,P2M,05-04-2026 16:34,success,QR,D1775,L3430,Paytm,0
T10189,C1016,A2016,kavita802@oksbi,petrolpointindia@upi,,merchant,192.53,INR,P2M,08-04-2026 22:25,success,intent,D4161,L1349,BHIM,0
T10293,C1074,A2074,simran321@oksbi,offshorevaultpvt@easebuzz,,merchant,94.99,INR,P2M,11-04-2026 06:38,success,mobile_app,D1104,L1118,PhonePe,0
T10280,C1059,A2059,arun437@apl,winnersbetonline@razorpay,,merchant,1681.43,INR,P2M,03-04-2026 08:04,success,QR,D3653,L2212,Paytm,0
T10025,C1012,A2012,manoj174@paytm,sanjay299@oksbi,C1031,customer,6330.32,INR,P2P,25-03-2026 05:16,success,QR,D9083,L4201,PhonePe,1
T10238,C1077,A2077,pooja142@paytm,coindealindia@razorpay,,merchant,3336.94,INR,P2M,14-04-2026 22:47,success,QR,D9514,L9154,BHIM,0
T10249,C1024,A2024,neha182@paytm,bitswap62@upi,,merchant,289.52,INR,P2M,31-03-2026 22:05,success,mobile_app,D1249,L9422,GPay,0
T10060,C1010,A2010,pooja798@oksbi,deepa120@okicici,C1075,customer,8273.62,INR,P2P,06-04-2026 10:17,success,intent,D7858,L9773,BHIM,0
T10312,C1068,A2068,sunita687@apl,swati502@ybl,C1079,customer,5795.7,INR,P2P,21-03-2026 19:44,success,mobile_app,D8501,L2430,GPay,0
T10446,C1033,A2033,simran143@ybl,anjali628@okaxis,C1041,customer,109085.57,INR,P2P,16-04-2026 17:45,success,QR,D1260,L3190,GPay,0
T10016,C1013,A2013,anjali276@ybl,ritika966@okhdfcbank,C1030,customer,2469.15,INR,P2P,30-03-2026 15:43,success,QR,D7274,L3458,PhonePe,1
T10397,C1011,A2011,ritika573@okhdfcbank,cricketbetsstore@easebuzz,,merchant,203.79,INR,P2M,11-04-2026 16:22,success,intent,D9596,L2375,Paytm,0
T10031,C1054,A2054,ritika464@upi,meena967@okhdfcbank,C1017,customer,6493.95,INR,P2P,26-03-2026 16:39,success,intent,D5584,L2524,GPay,1
T10096,C1045,A2045,deepa765@okhdfcbank,anonpayonline@upi,,merchant,8763.18,INR,collect_request,11-04-2026 07:58,success,mobile_app,D7738,L8220,GPay,0
T10021,C1070,A2070,divya602@oksbi,rahul352@oksbi,C1056,customer,4824.47,INR,P2P,12-04-2026 10:26,success,QR,D2129,L8620,Paytm,1
T10075,C1061,A2061,anjali674@paytm,quickbucks52@upi,,merchant,494.76,INR,P2M,02-04-2026 03:23,success,mobile_app,D3456,L9475,PhonePe,0
T10214,C1065,A2065,suresh721@oksbi,meena145@paytm,C1076,customer,23944.52,INR,P2P,11-04-2026 22:34,success,QR,D1352,L1651,PhonePe,0
T10457,C1030,A2030,ritika966@okhdfcbank,anonpayindia@razorpay,,merchant,126552.45,INR,P2M,16-04-2026 18:17,failed,intent,D8184,L2567,BHIM,0
T10353,C1050,A2050,sunita964@okicici,deepa765@okhdfcbank,C1045,customer,315.97,INR,P2P,21-03-2026 14:50,success,mobile_app,D1739,L3100,Paytm,0
T10469,C1002,A2002,ritika325@upi,meena967@okhdfcbank,C1017,customer,167.8,INR,P2P,24-03-2026 00:33,success,QR,D4444,L5998,BHIM,0
T10338,C1032,A2032,lata815@paytm,manoj174@paytm,C1012,customer,185.74,INR,P2P,28-03-2026 14:35,failed,intent,D4277,L4027,Paytm,0
T10236,C1038,A2038,swati810@upi,bookmyflightstore@easebuzz,,merchant,453.89,INR,P2M,01-04-2026 20:27,success,QR,D3204,L2999,Paytm,0
T10049,C1022,A2022,arun836@okicici,quickbazaarindia@razorpay,,merchant,6057.8,INR,P2M,16-04-2026 05:27,success,mobile_app,D7199,L6026,Paytm,0
T10220,C1018,A2018,ritika508@okhdfcbank,betmaster87@razorpay,,merchant,7888.92,INR,collect_request,31-03-2026 22:16,success,mobile_app,D4079,L2749,PhonePe,0
T10015,C1054,A2054,ritika464@upi,nikhil809@paytm,C1035,customer,5178,INR,P2P,26-03-2026 16:40,success,mobile_app,D5006,L1753,BHIM,1
T10051,C1072,A2072,divya834@ybl,sachin13@ybl,C1009,customer,273.28,INR,P2P,26-03-2026 18:52,pending,intent,D2453,L6500,BHIM,0
T10409,C1036,A2036,amit613@apl,rahul220@okhdfcbank,C1064,customer,5223.16,INR,P2P,04-04-2026 02:25,failed,intent,D8675,L3148,Paytm,0
T10481,C1066,A2066,manoj819@okicici,bitswap18@upi,,merchant,298.68,INR,P2M,02-04-2026 20:02,success,mobile_app,D8025,L7843,PhonePe,0
T10447,C1077,A2077,pooja142@paytm,betmaster87@razorpay,,merchant,455.65,INR,P2M,11-04-2026 08:58,success,QR,D9816,L2329,GPay,0
T10115,C1022,A2022,arun836@okicici,gadgetzone79@paytm,,merchant,20425.66,INR,P2M,08-04-2026 10:31,success,QR,D5329,L3131,PhonePe,0
T10028,C1002,A2002,ritika325@upi,mule243@okicici,,customer,4682.45,INR,P2P,26-03-2026 07:20,success,QR,D1023,L7164,Paytm,1
T10476,C1037,A2037,manoj548@paytm,betking@easebuzz,,merchant,208.21,INR,P2M,09-04-2026 12:54,success,QR,D8086,L7700,Paytm,0
T10342,C1052,A2052,mohan534@apl,suresh150@oksbi,C1014,customer,493.08,INR,P2P,05-04-2026 04:09,success,intent,D5723,L1665,GPay,0
T10368,C1076,A2076,meena145@paytm,simran321@oksbi,C1074,customer,413.01,INR,P2P,30-03-2026 02:09,success,QR,D4571,L3363,GPay,0
T10050,C1016,A2016,kavita802@oksbi,tripeasy70@razorpay,,merchant,50.81,INR,P2M,15-04-2026 04:26,pending,mobile_app,D3983,L6213,PhonePe,0
T10426,C1036,A2036,amit613@apl,digitalmartstore1@easebuzz,,merchant,8335.71,INR,P2M,30-03-2026 15:47,success,mobile_app,D6371,L9461,PhonePe,0
T10047,C1043,A2043,kiran989@paytm,winnersbethub1@razorpay,,merchant,9269.03,INR,P2M,25-03-2026 12:18,success,mobile_app,D9622,L6978,GPay,0
